scenario_idx,minADE,minFDE,miss
0,3.407249,9.155667,1
1,0.444072,0.669111,0
2,0.974027,0.947934,0
3,0.199977,0.304113,0
4,0.930660,2.411721,1
5,0.102862,0.061924,0
6,4.050159,8.042822,1
7,0.350274,0.507070,0
8,0.516047,0.938552,0
9,0.426323,0.629725,0
10,2.169067,2.701488,1
11,0.482318,1.056837,0
12,0.456130,0.361872,0
13,1.392080,4.518760,1
14,1.630095,3.189684,1
15,0.234923,0.472972,0
16,0.077841,0.075331,0
17,0.433812,0.268992,0
18,1.052326,3.313671,1
19,0.179876,0.047063,0
20,0.426544,0.090148,0
21,3.538523,10.181785,1
22,1.221370,1.094462,0
23,0.088344,0.094559,0
24,1.779820,3.019010,1
25,1.700749,3.798747,1
26,0.608213,1.237891,0
27,0.463149,0.589405,0
28,0.337721,0.348093,0
29,0.378397,0.253573,0
30,0.845874,1.320406,0
31,0.691292,1.682483,0
32,0.102832,0.047621,0
33,0.649010,0.198365,0
34,0.609851,1.264705,0
35,0.625023,0.471158,0
36,1.226748,1.414568,0
37,0.391248,0.973683,0
38,0.352800,0.079427,0
39,0.107768,0.104683,0
40,0.317661,0.188517,0
41,0.121765,0.354020,0
42,1.889428,2.017284,1
43,0.848126,1.776821,0
44,0.992255,2.622411,1
45,0.833282,1.699492,0
46,0.872304,0.992958,0
47,0.427181,0.807391,0
48,0.062047,0.050796,0
49,0.364321,0.413526,0
50,0.328954,0.300547,0
51,0.351792,0.511021,0
52,0.739192,0.765854,0
53,0.395311,0.447305,0
54,0.049682,0.068221,0
55,0.519825,1.168931,0
56,0.511014,0.688984,0
57,0.119502,0.138197,0
58,0.407617,1.115195,0
59,0.377055,0.365047,0
60,0.227796,0.501389,0
61,0.532880,1.061817,0
62,0.171272,0.313971,0
63,0.075351,0.120382,0
64,1.308849,2.087261,1
65,0.743911,0.895160,0
66,0.839456,3.353449,1
67,0.264344,0.353667,0
68,0.532666,1.121606,0
69,1.625523,6.299027,1
70,0.227116,0.286623,0
71,2.757213,8.573609,1
72,0.411472,0.339279,0
73,0.097737,0.105777,0
74,0.454942,0.933394,0
75,1.018101,2.804984,1
76,0.182282,0.191102,0
77,0.575621,1.211324,0
78,0.372194,0.683395,0
79,2.316562,2.191355,1
80,1.116228,2.515782,1
81,0.746211,1.505181,0
82,0.303465,1.043246,0
83,0.050911,0.116993,0
84,0.096005,0.098460,0
85,0.907070,0.980597,0
86,0.320537,0.736256,0
87,0.562950,1.868548,0
88,0.610539,0.459310,0
89,0.050017,0.036896,0
90,0.401818,0.875449,0
91,0.399178,0.670829,0
92,0.703927,1.089877,0
93,0.510100,1.021510,0
94,0.084122,0.064758,0
95,1.167946,2.096790,1
96,0.261286,0.450680,0
97,0.682640,1.100197,0
98,0.445191,0.172037,0
99,0.796999,2.854807,1
100,0.125036,0.104803,0
101,0.165785,0.142906,0
102,1.186098,0.784128,0
103,0.403292,0.818670,0
104,0.794671,0.438689,0
105,1.860509,3.348947,1
106,0.084976,0.125393,0
107,0.121708,0.125395,0
108,0.067135,0.056347,0
109,1.550979,2.784303,1
110,0.137622,0.121083,0
111,0.082764,0.087676,0
112,0.329451,0.468133,0
113,0.734589,1.327423,0
114,0.245480,0.601812,0
115,0.815106,1.968465,0
116,0.092189,0.091789,0
117,0.364969,0.367300,0
118,0.377746,0.403728,0
119,0.354424,0.471838,0
120,1.886337,4.130432,1
121,0.475698,0.975275,0
122,0.576227,0.570130,0
123,0.625074,1.146719,0
124,2.736158,3.477874,1
125,0.067501,0.068262,0
126,1.268302,7.156353,1
127,0.659539,0.854555,0
128,0.607469,1.071876,0
129,0.543556,0.973174,0
130,2.999718,3.549422,1
131,0.226637,0.084217,0
132,1.473475,1.368758,0
133,1.444106,4.774529,1
134,0.658410,0.798704,0
135,0.196032,0.141802,0
136,0.056167,0.050647,0
137,0.366722,0.485668,0
138,2.770112,4.777553,1
139,1.629066,6.803842,1
140,1.391729,2.660668,1
141,0.953820,0.803249,0
142,1.400603,2.864309,1
143,0.100724,0.040408,0
144,0.173800,0.199737,0
145,3.295902,5.433513,1
146,0.662335,0.878213,0
147,1.190373,2.659088,1
148,0.474393,0.892483,0
149,1.439700,2.352947,1
150,0.086401,0.068110,0
151,0.104114,0.124050,0
152,0.147873,0.073362,0
153,0.519429,0.440292,0
154,0.490880,0.463122,0
155,0.644478,1.006546,0
156,0.303176,0.515762,0
157,0.354409,0.634064,0
158,0.311688,0.362216,0
159,0.535555,0.553385,0
160,0.206325,0.379633,0
161,1.172933,2.545599,1
162,0.807109,1.345686,0
